Attribute,Class,Definition
"private name : String {NotBlank}","Actor",""
"private middleName : String[0..1]","Actor",""
"private surname : String {NotBlank}","Actor",""
"private photo : String[0..1] {URL}","Actor",""
"private email : String {NotBlank, Email}","Actor",""
"private phone : String[0..1]","Actor",""
"private address : String[0..1]","Actor",""
"private keyword : String[1..*] {URL}","Reviewer",""
"private sendDate : Date {Past}","Message",""
"private subject : String {NotBlank}","Message",""
"private body : String {NotBlank}","Message",""
"private topic : String {NotBlank}","Message",""
"private title : String {NotBlank}","Conferences",""
"private acronym : String {NotBlank}","Conferences",""
"private venue : String {NotBlank}","Conferences",""
"private submissionDeadline : Date","Conferences",""
"private notificationDeadline : Date","Conferences",""
"private camera_readyDeadline : Date","Conferences",""
"private startDate : Date","Conferences",""
"private endDate : Date","Conferences",""
"private summary : String {NotBlank}","Conferences",""
"private fee : double {Min=0}","Conferences",""
"private ticker : String {NotBlank}","Submissions",""
"private moment : Date {Past}","Submissions",""
"private status : String {NotBlank}","Submissions",""
"private title : String {NotBlank}","Paper",""
"private summary : String {NotBlank}","Paper",""
"private document : String {NotBlank, URL}","Paper",""
"private cameraReady : boolean {NotNull}","Paper",""
"private originalityScore : double {Min=0.0, Max = 10.0}","Reports",""
"private qualityScore : double {Min=0.0, Max = 10.0}","Reports",""
"private readabilityScore : double {Min=0.0, Max = 10.0}","Reports",""
"private decision : String","Reports",""
"private comment : String[0..*]","Reports",""
"private title : String {NotBlank}","Activity",""
"private speakers : String[1..*] {NotBlank}","Activity",""
"private startDate : Date","Activity",""
"private duration : double {Min=0.0}","Activity",""
"private room : String {NotBlank}","Activity",""
"private summary : String {NotBlank}","Activity",""
"private attachment : String[0..*] {URL}","Activity",""
"private title : String","Category",""
"private title : String {NotBlank}","Comment",""
"private moment : Date {Past}","Comment",""
"private text : String {NotBlank}","Comment",""
"private keyword : String","Finder",""
"private startDate : Date","Finder",""
"private endDate : Date","Finder",""
"private maximumFee : String","Finder",""
"private banner : String {NotBlank, URL}","Sponsorship",""
"private targetUrl : String {NotBlank, URL}","Sponsorship",""
"private REJECT : String","ReportDecision",""
"private BORDER-LINE : String","ReportDecision",""
"private ACCEPT : String","ReportDecision",""
"private title : String {NotBlank}","Section",""
"private summary : String {NotBlank}","Section",""
"private picture : String[0..*] {URL}","Section",""
"private holder : String {NotBlank}","CreditCard",""
"private number : String {NotBlank}","CreditCard",""
"private expiration : Date {NotNull}","CreditCard",""
"private CVV : Integer {Range(min=100,max=999)}","CreditCard",""
"private brand : String {NotBlank}","CreditCard",""
"private voidWordUrls : String[1..*]","Configuration",""
"private spanishTopics : String[1..*]","Configuration",""
"private englishTopics : String[1..*]","Configuration",""
"private spanishMessage : String[1]","Configuration",""
"private englishMessage : String[1]","Configuration",""
"private bannerUrl : String[1]","Configuration",""
"private creditCardBrands : String[1..*]","Configuration",""
"private prefixNumber : int","Configuration",""
"private reportDecisions : String[3]","Configuration",""
"private submissionStatus : String[3]","Configuration",""
